ORGANISM_NAME,ORGANISM_NAME_OTHER,ORGANISM_CODE,ORGANISM_CLASS,TAX_ID,PARENT_TAX_ID,TAX_RANK,DIVISION,DIVISION_CODE,LINEAGE,STATUS,ACREATEDBY,ACREATEDDATE,AMODIFIEDBY,AMODIFIEDDATE
Abarema floribunda,,,,1359235,468123,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Caesalpinioideae; mimosoid clade; Ingeae; Abarema,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abarema gallorum,,,,1937570,468123,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Caesalpinioideae; mimosoid clade; Ingeae; Abarema,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abarema jupunba,,,,468124,468123,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Caesalpinioideae; mimosoid clade; Ingeae; Abarema,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abarema laeta,,,,1954504,468123,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Caesalpinioideae; mimosoid clade; Ingeae; Abarema,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abarema langsdorffii,,,,1951246,468123,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Caesalpinioideae; mimosoid clade; Ingeae; Abarema,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abarema leucophylla,,,,1951247,468123,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Caesalpinioideae; mimosoid clade; Ingeae; Abarema,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abarema limae,,,,1951248,468123,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Caesalpinioideae; mimosoid clade; Ingeae; Abarema,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abarema macradenia,,,,681399,468123,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Caesalpinioideae; mimosoid clade; Ingeae; Abarema,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abarema mataybifolia,,,,1186076,468123,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Caesalpinioideae; mimosoid clade; Ingeae; Abarema,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abarema microcalyx,,,,1954505,468123,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Caesalpinioideae; mimosoid clade; Ingeae; Abarema,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abarema piresii,,,,1359236,468123,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Caesalpinioideae; mimosoid clade; Ingeae; Abarema,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abarema turbinata,,,,1954506,468123,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Caesalpinioideae; mimosoid clade; Ingeae; Abarema,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abarema villosa,,,,1954507,468123,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Caesalpinioideae; mimosoid clade; Ingeae; Abarema,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abarema zolleriana,,,,1951249,468123,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Caesalpinioideae; mimosoid clade; Ingeae; Abarema,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abatia angeliana,,,,312351,112814,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Malpighiales; Salicaceae; Abatieae; Abatia,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abatia canescens,,,,312409,112814,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Malpighiales; Salicaceae; Abatieae; Abatia,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abatia mexicana,,,,312410,112814,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Malpighiales; Salicaceae; Abatieae; Abatia,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abatia parviflora,,,,112815,112814,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Malpighiales; Salicaceae; Abatieae; Abatia,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abatia spicata,,,,312411,112814,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Malpighiales; Salicaceae; Abatieae; Abatia,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abatia stellata,,,,312412,112814,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Malpighiales; Salicaceae; Abatieae; Abatia,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abdra aprica,,,,700881,1394152,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Arabideae; Abdra,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abdra brachycarpa,,,,311920,1394152,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Arabideae; Abdra,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abedinium dasypus,,,,763927,763926,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Alveolata; Dinophyceae; unclassified Dinophyceae; Abedinium,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abelia chinensis,,,,180068,86866,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Dipsacales; Caprifoliaceae; Abelia,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abelia engleriana,,,,761853,86866,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Dipsacales; Caprifoliaceae; Abelia,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abelia floribunda,,,,761854,86866,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Dipsacales; Caprifoliaceae; Abelia,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abelia forrestii,,,,1630336,86866,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Dipsacales; Caprifoliaceae; Abelia,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abelia graebneriana,,,,761855,86866,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Dipsacales; Caprifoliaceae; Abelia,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies borisii-regis,,,,698325,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies bracteata,,,,66168,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies cephalonica,,,,74306,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies chensiensis,,,,425836,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies cilicica,,,,338078,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies concolor,,,,97173,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies delavayi,,,,425837,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies densa,,,,425838,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies durangensis,,,,425839,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies ernestii,,,,1045215,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies fabri,,,,97166,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies fanjingshanensis,,,,745662,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies fargesii,,,,97167,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies ferreana,,,,1045216,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies firma,,,,78260,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies flinckii,,,,425840,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies forrestii,,,,425841,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies fraseri,,,,97172,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies georgei,,,,1045217,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies grandis,,,,46611,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies guatemalensis,,,,425842,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies hickelii,,,,525716,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies hidalgensis,,,,500449,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies holophylla,,,,97168,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies homolepis,,,,78261,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies kawakamii,,,,342582,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abies koreana,,,,97170,3319,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinidae; Pinales; Pinaceae; Abies,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abelia macrotera,,,,1630337,86866,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Dipsacales; Caprifoliaceae; Abelia,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abelia myrtilloides,,,,1630338,86866,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Dipsacales; Caprifoliaceae; Abelia,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abelia parvifolia,,,,620776,86866,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Dipsacales; Caprifoliaceae; Abelia,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abelia schumannii,,,,761858,86866,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Dipsacales; Caprifoliaceae; Abelia,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
Abelia uniflora,,,,1112097,86866,species,Plants and Fungi,PLN,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Dipsacales; Caprifoliaceae; Abelia,,ORGDB,11-Oct-17,ORGDB,22-Oct-17
